UNIQID,NAME,0C12_S,0C179_S,0C167_S,0C0936_S,AP5204_S,AP10222_S,AP12366_S,AP13058_S,AP13223_S,AP14217_S,AP14398_S,BP185_S,BP355_S,BP7644_S,CP6667_S,CP9949_S,CP12361_S,CP13701_S,CP13774_S,XP139_S,XP10557_S,XP13296_S,XP13451_S,XP14399_S,XP14698_S,XP15443_S,XP170_S,XP6209_S,XP7297_S,XP9376_S,XP9875_S,XP10232_S,XP11567_S,XP14735_S,XP16942_S
65,AFFX-r2-Hs18SrRNA-5_at,4.786951,4.893266,5.058269,4.703973,4.664519,4.956606,4.749178,4.906648,4.546748,4.448719,4.742452,7.74282,6.068802,9.601407,5.869055,8.62147,5.652354,4.789525,5.766745,5.932764,8.802953,11.953368,6.034906,9.603429,6.321753,5.162227,6.45801,6.725454,6.868899,6.679146,7.897423,8.801782,8.812876,4.90519,5.594474
66,AFFX-r2-Hs28SrRNA-3_at,5.428498,5.817893,5.923747,5.905604,5.218717,5.7318,5.933059,4.921747,4.55726,6.109437,5.217018,9.566634,6.583587,11.449771,6.281017,9.251826,6.375708,5.08935,7.146544,7.228511,8.35951,11.35096,7.350104,10.551316,7.06164,6.103933,8.308387,7.232882,10.87838,7.887298,8.811537,9.592636,9.64461,5.564403,6.522263
67,AFFX-r2-Hs28SrRNA-M_at,5.331707,5.184857,6.145635,5.503905,4.687136,4.892306,5.200197,5.580479,5.122877,5.260914,5.50345,6.336969,5.925827,8.263399,6.98115,8.058668,5.34,5.802866,5.887593,5.743358,7.293504,8.782976,5.826164,8.030586,6.309702,5.113982,6.260023,6.389512,7.937171,6.437152,8.097107,7.803809,7.745094,5.393531,5.353716
68,AFFX-r2-Hs28SrRNA-5_at,4.824996,4.808523,4.558106,4.618951,4.71356,4.860632,4.759726,4.665616,4.384003,4.693516,4.869197,5.945638,5.145275,7.943632,5.4551,7.344125,4.988646,4.694028,5.072041,4.92847,7.706616,7.714448,5.201719,6.923978,5.612039,4.567148,5.473752,5.944049,6.647925,5.394821,6.492271,6.786354,7.191176,5.085761,5.185322
69,200000_s_at,8.822267,8.491914,8.307223,8.233434,9.269838,8.819296,9.289069,9.779826,7.921284,9.338005,9.434293,9.217782,8.773469,9.561926,9.530842,8.675246,9.145657,7.94596,9.001221,9.720874,7.488895,8.721964,8.122339,9.543047,9.316414,9.467064,9.567933,8.073522,9.050577,8.693206,8.627823,8.843522,8.61556,9.596284,9.570358
70,200001_at,9.993486,9.29064,9.767897,9.79933,10.607834,10.365154,10.417648,10.465384,9.129579,9.186386,10.865412,10.657566,10.332067,10.32151,10.454541,10.637163,11.299593,10.376764,10.60829,9.790699,10.270038,9.366024,9.514976,9.461639,9.423149,10.070813,10.702524,9.229704,10.017499,9.866848,10.305328,10.430568,10.138075,9.903372,10.171436
71,200002_at,10.783664,10.531424,11.06429,10.226236,11.622047,11.540214,11.834102,11.884537,11.759384,11.491068,11.142881,11.535221,11.385852,11.582896,11.51072,11.480303,11.41973,10.954037,10.978578,11.709799,11.441503,12.040125,11.330577,11.959066,11.205505,11.610394,11.736303,11.383769,11.82996,11.651775,11.773823,11.63282,11.828035,11.478409,11.439831
72,200003_s_at,11.84433,12.305016,11.746507,11.387681,12.284509,12.449499,12.681337,12.320536,12.198139,12.357031,12.091598,12.301999,12.272754,12.440219,12.728563,12.743429,12.506404,12.315294,12.442487,12.260208,12.39284,12.673927,12.305762,12.559498,12.287811,12.454079,12.327844,12.314292,12.599226,12.650482,12.7876,12.792255,12.779734,12.46645,12.253352
73,200004_at,9.524111,10.534775,9.368146,10.01754,10.071761,10.266533,10.045131,10.1054,10.071398,10.062617,10.155194,9.882201,9.735715,9.270923,9.193264,9.062419,9.113839,10.437984,9.733494,10.26775,9.531775,9.478575,9.028502,10.26753,9.931912,10.066296,10.203219,8.708604,9.533366,9.965005,9.497512,9.661832,9.265616,10.087082,10.222267
74,200005_at,9.2523,9.505566,8.616605,8.403352,9.843003,10.20187,10.163743,10.302622,10.289131,9.977832,9.66084,10.328218,10.416963,10.848088,10.233345,9.622115,9.739707,9.415534,9.658017,9.994453,9.755686,10.047135,9.788761,10.248447,9.70413,10.11528,10.532711,9.90477,10.437382,10.23505,9.983487,10.218208,10.150281,9.858869,10.391406
75,200006_at,9.480071,9.71776,9.340645,9.284907,10.068255,9.918422,10.247498,10.352532,9.368105,9.835578,9.779194,10.132912,10.044058,9.09186,10.170111,9.909196,10.241429,9.446676,9.634847,10.597719,9.929685,10.416409,8.94786,10.387645,9.944269,9.792282,10.23821,9.064893,10.000737,10.285914,10.581852,9.775332,10.330181,10.414107,10.208761
76,200007_at,10.353542,10.703311,10.376053,10.364087,10.347956,10.380905,10.146328,10.566885,10.228937,10.142089,10.537916,10.833065,10.516063,9.716297,10.422595,10.305236,10.627493,9.903446,10.175692,10.720129,10.186575,10.872359,9.88082,11.031986,10.554557,10.552825,11.08666,9.339265,10.490362,10.696314,10.632034,9.714408,9.913219,10.852595,10.969075
77,200008_s_at,8.30234,7.759604,6.903021,8.831474,10.422372,9.998243,9.955529,9.66201,9.318142,7.809561,7.836633,9.373799,8.80799,9.450436,9.459613,8.933971,9.189575,7.11993,8.114825,8.948743,9.435621,9.852504,7.220978,8.079361,6.652492,7.958881,9.129454,9.182165,9.466469,9.090343,9.727366,9.055412,9.941984,6.724896,8.714547
78,200009_at,10.287964,10.479922,10.166703,9.896156,11.274972,11.11613,11.354492,11.434165,11.397276,11.121485,10.908316,10.902555,10.719657,10.904582,10.833368,10.272405,10.744207,9.639064,10.636744,10.92365,10.896794,11.248139,10.134558,10.481974,10.428692,10.454634,10.383499,10.105781,10.479658,11.082432,10.955883,10.934395,11.144206,9.891289,10.546979
79,200010_at,11.102204,11.538839,10.908804,11.419777,12.133828,12.145066,11.901738,11.968075,11.86489,12.005945,11.130506,11.792,11.590799,12.017432,11.444541,11.516535,11.558622,11.558709,11.441082,11.703844,11.709308,12.140472,11.556014,11.991048,11.64313,11.877756,11.728353,11.425518,11.62401,11.990518,11.723197,11.600218,12.059251,11.70314,12.053126
80,200011_s_at,8.798982,9.42317,8.856209,9.145721,8.662505,9.176571,8.771435,9.098355,8.818254,8.57695,9.231016,8.982197,8.723746,9.052948,9.289776,8.982989,9.305203,9.228479,9.122392,9.168623,9.017749,8.931322,8.799527,9.236531,9.036824,8.742526,9.237233,7.850831,6.815024,9.425138,9.09915,8.758253,9.600613,8.663274,8.817573
81,200012_x_at,11.784856,12.137738,12.116121,11.877324,12.332284,12.373584,12.427545,12.355777,12.37179,12.444097,11.955107,12.123862,12.406385,12.279412,12.339977,12.230897,12.187576,12.325099,12.114574,12.341426,12.450522,12.683121,12.38851,12.588423,12.592517,12.435415,12.223676,11.928915,12.471007,12.369959,12.376172,12.312533,12.099675,12.541381,12.39354
82,200013_at,10.766843,11.702196,11.043357,10.769817,11.967108,11.953904,11.925498,12.051678,11.968391,12.039129,11.49475,11.854845,11.281189,12.07121,11.577051,11.752726,11.4816,11.510994,11.119395,11.650715,11.792412,12.260632,11.605867,11.980533,11.86747,11.599895,11.98549,11.504219,12.203209,12.009722,11.92633,12.301571,11.944133,11.584612,11.911699
83,200014_s_at,8.210631,9.179105,8.403765,8.466043,8.671249,9.067088,8.923839,9.137141,9.462103,8.271002,8.567343,9.152049,9.229592,8.329807,8.896769,8.451367,9.034097,9.019927,8.66517,9.375154,8.972252,9.737172,7.735742,9.779395,8.581553,8.252991,9.208849,8.197122,9.014353,9.505607,9.277269,8.818587,8.878189,8.705071,9.231284
84,200015_s_at,8.80841,8.254861,7.903209,7.857574,8.937221,8.384496,9.157139,9.193062,9.51278,9.086392,9.477012,8.796472,8.333556,8.321617,8.641437,8.200621,9.013282,8.033878,8.828416,8.883928,7.926233,8.348564,7.058621,8.690728,8.068404,7.792211,8.573884,7.572004,7.772056,8.141797,8.150174,8.943638,7.237927,9.230664,7.933046
85,200016_x_at,11.508682,11.59859,11.320441,11.592297,12.371157,12.039005,12.070194,11.878969,12.133211,12.276637,11.815124,11.95774,12.000667,12.139197,11.558427,11.366138,11.885137,11.59745,11.387599,12.275922,12.050913,12.415085,11.978682,12.321571,12.322269,12.234621,12.296507,11.497922,12.050281,12.119281,12.061918,11.87427,12.251054,11.976311,12.311978
86,200017_at,10.965195,11.566671,11.279878,11.061651,11.710445,11.575254,11.842976,11.565812,11.723277,11.903969,11.202509,11.472818,11.297745,11.622933,10.883962,11.234625,11.099481,11.32962,11.263546,11.470842,11.338551,11.959433,11.312072,11.872501,11.753692,11.68726,11.66597,11.130753,11.408113,11.636012,11.366336,11.193568,11.500417,11.624226,11.58175
87,200018_at,11.703844,11.651003,12.051384,11.910917,12.590798,12.399929,12.337287,12.533343,12.479089,12.49919,12.207184,12.337287,12.328068,12.397028,12.01211,12.14358,12.259079,12.166725,12.241564,12.318264,12.371214,12.700286,12.543495,12.447168,12.720965,12.411743,12.328866,12.040219,12.274108,12.611875,12.251638,12.195082,12.188226,12.492758,12.479484
88,200019_s_at,11.729704,11.555938,11.780854,11.551554,11.882526,12.255651,12.196659,12.557121,12.183141,12.075506,12.051,12.163988,12.175374,12.22318,12.171605,12.214896,11.99624,11.979698,12.089597,11.870565,11.856409,12.520426,11.823953,12.473317,12.048341,12.099322,12.229046,11.681238,12.167126,12.530496,12.377961,12.364046,12.030314,12.181043,12.169479
89,200020_at,7.578405,8.232737,6.915499,7.086468,7.998623,8.827621,8.276141,8.425628,8.819198,8.472861,8.505798,8.527332,8.043932,7.690066,8.072065,7.058754,8.489129,5.773914,7.803051,8.872626,6.763042,8.375759,6.566886,9.301428,8.130309,8.342694,8.390922,7.483833,7.422504,6.745194,7.118544,7.726937,7.868275,8.129656,8.287275
90,200021_at,12.999244,13.059695,13.167591,13.149673,12.356937,12.513011,12.138727,12.393362,11.900572,12.014809,13.038325,12.577345,12.76508,12.425611,12.682734,12.714373,13.002557,13.156075,13.084302,12.96003,12.775616,11.879996,12.855653,12.408794,12.742861,12.714321,12.806921,11.681477,11.948195,12.573191,12.381693,12.656776,11.825044,12.722819,12.642423
91,200022_at,11.701085,10.941222,11.46073,10.968467,12.242629,12.373641,12.615606,12.442898,12.420781,12.411507,12.154152,12.237419,12.081042,12.402629,12.370484,12.424239,11.948852,11.814945,12.017226,11.839256,12.053391,12.55067,12.25346,12.519893,12.008396,12.299246,12.275868,12.163247,12.445491,12.597882,12.477722,12.394636,12.832386,12.111301,12.241737
92,200023_s_at,10.30312,10.445893,9.990441,9.524507,10.847512,11.163647,11.239576,11.261795,10.935534,11.118699,10.544486,10.796333,10.962859,11.020327,10.655699,10.733375,10.670674,10.595035,10.526796,10.208762,10.582857,11.138466,10.25179,10.916431,10.65007,10.703331,10.997676,10.53399,11.081313,11.001623,11.039743,11.127119,10.770542,10.693078,11.203792
93,200024_at,11.764755,10.7983,11.541182,10.94727,12.362987,12.618263,12.794126,12.743351,12.597096,12.004847,12.133868,12.394204,12.508763,12.702192,12.320925,12.33483,12.064911,11.59515,11.585131,11.724742,12.522179,12.689331,11.729366,12.466166,12.149716,12.253237,12.378503,12.218015,12.841348,12.510007,12.724539,12.597764,12.883365,12.035134,12.31139
94,200025_s_at,12.18417,12.118896,12.416213,12.125386,12.523898,12.597964,12.564591,12.570763,12.520494,12.656733,12.230985,12.410103,12.48929,12.546293,12.30924,12.644171,12.28601,12.335671,12.475724,12.804706,12.737327,12.833789,12.773828,12.822313,12.850362,12.585442,12.566917,12.575837,12.707069,12.792963,12.601509,12.849156,12.620808,12.607625,12.488037
95,200026_at,11.747114,12.324846,11.75268,12.083011,12.744122,12.434725,12.425196,12.376742,12.670362,12.944246,12.201677,12.377986,12.345904,12.482615,12.019602,12.264877,12.225911,12.252837,12.230681,12.307543,12.620496,12.753388,12.724885,12.700972,12.809849,12.811598,12.581639,12.366478,12.324022,12.661786,12.48929,12.290323,12.516235,12.858426,12.560457
96,200027_at,8.371544,8.643107,7.862787,8.289085,9.13842,8.266681,8.98871,9.425812,9.028123,9.223671,9.000119,8.640384,7.859595,8.645846,8.808632,8.300111,8.925337,5.828596,9.163166,9.425544,8.391827,8.822228,7.51419,9.05616,9.147777,7.706866,8.379668,7.640325,8.220459,8.121007,7.920236,9.184744,8.598245,8.574278,8.901317
97,200028_s_at,8.980322,9.167111,8.46361,8.622453,9.498786,8.656715,9.168725,9.921374,9.501346,9.20657,9.193689,9.194581,9.163045,9.184468,8.970972,9.083299,9.342519,8.965836,9.795933,9.735601,8.68115,8.387476,8.719873,9.243254,9.806027,9.293776,9.283815,8.925501,9.295411,9.416145,9.134422,10.505576,9.607625,9.567694,9.188642
98,200029_at,12.255668,11.290095,12.19714,11.84337,12.605978,12.664851,12.687164,12.887525,12.864882,12.649763,12.485207,12.834124,12.70814,12.834124,12.690613,12.49427,12.88491,12.422037,12.326631,12.774578,12.509056,12.814377,12.289749,12.494864,12.502759,12.834124,12.768564,12.458254,12.542754,12.490249,12.795293,12.548168,12.713617,12.722232,12.587887
99,200030_s_at,10.860029,11.159218,10.30946,10.309222,11.427818,11.014577,11.698557,11.648481,11.206776,11.290653,11.417158,11.076272,11.286811,11.510969,11.515932,11.206101,10.654239,10.836906,10.923101,10.916773,10.619214,10.550893,9.948644,11.230244,11.340185,11.014884,11.424958,10.872287,11.339881,11.274385,10.666762,11.754881,12.134877,10.916006,11.654361
100,200031_s_at,12.463991,12.025525,12.168624,12.027638,12.620902,12.667685,12.873211,12.924594,12.797223,12.692046,12.5592,12.668621,12.102131,12.747149,12.663909,12.742063,12.635096,12.291357,12.412182,12.547746,12.819493,12.733938,12.450113,12.852006,12.82252,12.724947,12.714263,12.546535,12.779453,12.466034,12.932644,12.850851,12.976149,12.759628,12.328959
101,200032_s_at,11.759582,12.157721,12.043922,11.804227,12.717646,12.464565,12.607056,12.312785,12.59768,12.883121,12.373548,12.528975,12.266215,12.42246,12.349781,12.341092,12.339411,12.219514,12.365243,12.429429,12.613629,12.91086,12.397372,12.637301,12.686101,12.377269,12.47128,12.25758,12.420382,12.647253,12.396008,12.358672,12.575752,12.432465,12.559362
102,200033_at,10.896145,11.715724,10.364857,11.1881,10.28284,11.047563,9.776814,10.696559,10.667079,10.898786,11.349403,10.811697,10.423607,10.292686,9.812463,9.547303,9.836183,10.581484,11.327779,11.241605,10.259555,10.86321,10.351342,11.628682,11.577098,11.114023,10.912385,9.424364,10.38254,11.058517,10.45199,9.995037,9.978783,11.120623,11.036895
103,200034_s_at,11.0123,11.14087,10.696729,10.472109,11.673446,11.547553,11.498502,11.659697,11.426372,11.811172,10.943496,11.587988,11.444887,11.478792,11.202846,11.346426,11.131649,10.789911,10.837214,11.498218,10.749201,11.527479,11.050113,11.748247,11.178051,11.553091,11.595239,11.186151,11.503834,10.756736,10.977548,11.234516,11.681204,11.287148,11.49449
104,200035_at,9.309665,9.490281,9.197228,8.931751,9.279913,9.488061,9.630686,9.72218,9.358059,9.361086,9.551134,9.381086,8.678725,9.551826,9.647835,8.752556,9.56896,8.937766,9.435058,9.946876,8.660101,9.207386,8.804117,9.018726,9.019876,9.439382,9.434514,8.249973,8.894684,9.030163,9.191015,9.332508,8.777991,9.472772,8.992451
105,200036_s_at,10.870798,10.235449,10.177079,10.015787,11.695701,11.858646,11.907326,11.956651,12.02884,11.511667,10.982278,11.955881,11.990005,11.753788,11.62377,11.634089,11.678202,11.119395,10.857676,11.332211,11.748368,12.397975,11.191205,11.907917,11.501293,12.028386,12.081977,11.420083,12.011078,11.989153,11.74576,11.689034,12.250821,11.604735,11.968197
106,200037_s_at,8.362801,9.011759,8.457782,8.508356,8.423331,8.839684,8.57175,8.93423,9.061107,8.852142,8.685048,8.523189,7.846652,8.228652,8.278542,7.932245,8.584339,8.253139,8.304265,8.878796,8.286009,9.114193,7.795282,9.595673,9.089776,8.457179,8.535623,7.590271,8.591831,9.015227,8.498687,8.437802,8.492848,8.473988,8.290229
107,200038_s_at,11.452801,11.946303,11.617989,11.44593,12.319651,12.208447,12.176257,12.410107,12.312301,12.568367,11.680144,12.336254,12.024302,12.332453,11.952721,11.954756,11.64605,11.688482,11.688876,12.089683,11.748896,12.572802,12.081401,12.545534,12.150088,12.108554,12.059315,11.87821,12.211944,12.195807,11.819088,11.996142,12.313306,11.897934,12.251882
108,200039_s_at,8.374618,8.771079,8.345961,8.305807,8.701945,8.663759,8.714758,9.371038,7.409898,8.573904,9.110517,9.349964,8.514072,8.464867,9.346605,9.074681,9.395358,7.43663,8.566233,9.215545,8.626103,8.763592,7.924444,8.929559,8.759696,8.410435,9.290145,7.405452,8.924858,8.344217,8.756228,8.921464,9.665717,8.549039,8.443111
109,200040_at,8.542103,8.858105,8.094571,8.237423,9.157715,9.125352,9.244716,9.450345,9.632268,8.831767,8.932201,9.207153,8.998577,9.060309,8.973357,8.364093,9.020471,8.398973,8.600727,9.721074,8.125619,9.304367,8.356472,9.747574,9.32109,9.217799,9.488613,8.611962,8.947944,9.537009,9.109344,9.247342,9.185889,9.319963,9.185393
110,200041_s_at,10.233431,10.4903,9.767453,9.880252,9.995356,9.145318,9.652815,9.833034,9.484412,9.766634,9.894428,10.412691,9.397899,10.127406,10.002417,9.029291,10.19322,7.924445,9.892413,11.182629,9.246627,9.677827,9.726686,10.369729,10.048238,10.997609,10.470692,8.962023,8.943534,9.373388,9.532183,10.064695,10.287122,10.386622,9.179307
111,200042_at,8.000584,7.950239,7.593555,7.45445,8.036332,8.47517,8.766616,8.801442,9.001703,8.154017,8.239017,8.59108,8.45388,9.121252,8.582534,8.505805,8.779049,8.496585,8.378929,8.285627,8.681203,8.904341,8.044195,8.804239,8.604587,7.921544,8.60778,7.583816,9.10825,8.644533,8.545363,8.863903,8.369342,7.987665,8.524868
112,200043_at,9.016169,8.937738,9.130172,9.032242,9.813133,9.205877,9.544489,9.777753,9.197141,9.368578,9.17443,9.368999,9.176427,8.80595,9.663048,9.317398,9.645517,9.254285,8.889286,10.013544,9.620811,9.842555,9.022232,9.640793,9.711182,8.85464,9.591578,8.874448,9.818072,9.997994,9.51877,9.588343,10.258679,9.656612,9.186295
113,200044_at,9.471903,10.030944,9.641774,9.414802,9.54986,9.732606,9.710851,9.844046,9.810978,9.59698,9.693702,9.521711,9.116028,9.107205,9.883948,9.450424,9.572111,9.302545,9.452677,9.387931,9.039819,9.582182,8.940525,9.538191,9.38433,9.880612,9.818146,8.703507,8.867577,9.661389,9.55083,9.59693,9.90953,9.529714,9.3642
114,200045_at,7.792167,7.853609,7.472768,7.455593,7.914385,7.670367,7.873607,7.95855,7.892364,7.775505,8.069854,7.64446,7.93022,7.770079,7.880824,7.56318,8.00891,7.829589,7.837051,8.65205,7.520385,7.405644,7.349042,8.1601,8.381824,8.473581,7.845783,7.013536,8.173657,7.971653,7.425976,7.603862,8.130815,7.678516,8.101263
115,200046_at,7.664871,8.278582,7.577884,8.130438,9.318987,8.475035,8.677474,9.289881,7.862269,7.924403,8.292606,8.728979,7.909632,7.406066,8.301997,8.629833,8.534334,7.951283,7.545867,9.984473,9.082413,9.308064,7.338787,8.760329,7.963183,8.423816,8.267581,6.472757,7.610591,9.012811,7.979473,7.922896,8.475306,8.192685,7.883683
116,200047_s_at,8.180155,9.093302,7.78348,8.049636,7.916325,8.591869,8.509016,8.230374,9.647667,8.108617,7.915733,7.82729,8.118062,7.425841,7.847508,8.143327,8.184072,8.403637,8.144514,8.266168,7.663251,8.690813,7.737861,8.526139,8.237346,7.709764,8.306881,7.616866,8.333447,8.872099,8.553239,8.562809,8.149908,8.158116,8.672165
117,200048_s_at,9.746045,9.320104,9.680504,9.089606,9.677558,10.014868,10.107934,10.122417,10.0919,10.008715,9.905996,9.464992,9.31318,9.359485,9.672662,9.791071,9.622736,9.734026,9.690724,10.094306,9.365566,9.984441,9.379927,10.513008,9.739147,9.617342,9.576466,8.228876,9.438689,10.009424,9.5399,9.2203,9.751781,9.812797,10.080625
118,200049_at,7.672092,8.173224,7.518322,7.552419,7.815239,8.055952,7.69978,7.789987,8.189451,7.789193,7.809404,7.645663,7.907896,7.935487,7.29235,6.924533,7.880046,7.788465,7.387541,8.01074,7.920678,8.163524,8.224666,8.215055,8.312293,8.267612,8.518108,7.686484,8.211241,8.608486,7.775197,7.325686,7.907896,7.557267,8.917049
119,200050_at,5.556201,6.455993,5.509412,5.916977,7.292364,5.730352,7.099596,6.63648,7.892885,6.918904,5.75349,6.295626,6.064561,6.428777,6.618317,6.183513,6.418569,4.867781,6.216425,7.866687,5.32234,5.913131,4.943226,6.005439,6.489443,5.093608,5.754939,6.557633,5.831868,5.825196,5.986253,6.482575,6.76863,5.24281,5.868187
120,200051_at,6.338382,5.800885,6.07309,6.29161,6.42668,6.284769,6.646872,7.0343,6.72014,5.620212,6.573831,6.94097,7.21748,7.246003,7.220341,6.906697,6.934367,6.463363,6.800631,7.251521,5.954174,6.806131,6.315319,7.163206,6.729768,6.947341,7.09198,5.991999,7.021459,7.096761,7.295546,7.060408,6.519558,6.882259,7.224574
121,200052_s_at,7.685485,7.816828,6.7272,7.511004,8.77264,8.391119,9.038371,9.278666,9.21972,8.134747,8.339898,8.515259,8.149139,7.980141,8.25336,7.660294,8.386815,7.260246,7.328269,8.90151,7.921675,9.087602,6.710638,8.948182,8.19928,8.235286,8.914911,7.490644,9.027207,8.631156,8.386766,8.426741,9.190331,8.018638,8.592106
122,200053_at,8.183632,8.703984,8.319352,8.04295,8.730165,8.950545,9.028673,9.291051,8.910465,8.775026,9.183297,8.680363,9.031114,8.901482,8.820069,8.837274,8.811402,8.773593,8.80525,9.506685,8.446837,8.94319,8.489282,8.830793,8.53275,8.646547,8.986554,8.294632,8.280955,8.935488,9.148003,9.244112,8.850367,8.867678,8.651825
123,200054_at,6.172801,5.794878,6.23395,6.318505,6.524347,6.760955,7.153093,7.356274,7.422825,6.325679,6.416121,7.222825,6.940706,6.479259,7.023881,6.889617,6.857788,5.977858,6.42012,7.001358,6.819532,7.264918,6.203252,7.21827,6.708178,6.756564,7.156428,6.730629,7.080688,6.955174,7.019691,7.112651,7.28227,6.513793,7.019829
124,200055_at,10.05924,10.479063,10.217631,9.848617,9.578164,9.868428,9.818635,9.710599,9.076837,9.51347,9.662804,9.838785,9.82738,9.575628,10.126043,10.101118,10.182686,10.37515,10.201537,9.133734,9.942714,9.627857,9.647475,9.436793,9.665876,9.963719,9.702718,8.239012,9.792567,9.070024,10.076868,9.956799,8.949628,9.971192,9.850695
125,200056_s_at,4.774482,4.645546,4.760229,4.849375,4.704205,5.279399,4.752556,4.850017,5.767983,4.478576,4.976803,4.770826,4.864947,4.342649,4.289352,4.372951,4.737919,5.214135,4.772218,4.964378,4.157581,5.047361,4.646251,5.187769,4.579032,4.497926,4.8151,3.847509,4.775183,4.790349,4.607232,4.275691,4.383485,4.477667,5.343038
126,200057_s_at,10.035688,9.911636,9.254695,9.375402,10.77482,10.50017,10.706086,10.768743,10.606887,10.503071,10.494082,10.423271,10.184943,10.624217,10.393743,10.048706,10.521467,9.378364,9.818155,11.168496,10.102364,10.563496,9.889034,10.64595,10.412099,10.507846,10.676963,10.099883,9.917448,10.585727,10.634966,10.489897,11.318766,10.718234,10.493935
127,200058_s_at,8.59768,8.91585,8.28121,8.448982,8.512614,8.495578,8.974496,9.120647,8.117366,9.009074,8.919708,8.667019,8.263585,8.377861,8.684324,8.053751,8.468755,7.01564,8.413267,9.368164,7.447559,8.700343,8.074962,9.377725,8.840673,9.150798,9.154654,7.424435,9.084424,8.994653,7.977696,8.548741,8.645652,8.846168,8.980064
128,200059_s_at,11.387866,11.726662,11.00605,11.622416,11.418068,11.297871,11.359551,11.12339,10.850613,10.241131,11.375507,11.217994,11.299609,11.280659,11.13099,11.21361,11.366632,10.960551,11.161211,11.159169,10.971946,11.136098,10.423349,10.883497,10.108996,10.432906,11.109534,10.332283,10.618579,10.940763,11.139053,11.378968,10.719036,11.163305,10.865507
129,200060_s_at,8.546373,8.34536,8.314258,8.059299,8.618223,8.743096,8.520626,8.900347,8.856162,8.54368,8.981715,8.874639,8.520147,8.574953,8.697669,8.624758,8.563463,8.34125,8.703556,9.162993,8.125328,8.714003,8.655696,9.12856,9.115115,9.033333,9.22712,8.182128,9.288231,9.127493,8.771392,8.776915,8.822089,8.840852,9.272546
130,200061_s_at,12.096823,12.348366,12.498563,12.527421,13.153558,13.122464,13.078916,12.939245,13.040589,13.191857,12.920057,12.904889,12.730883,12.966953,12.707726,12.748701,12.907431,12.8167,12.659128,13.209889,13.186839,13.233163,12.882676,12.997952,13.288897,13.020236,12.978798,12.610659,12.778124,13.177553,12.650239,12.940372,12.913283,12.922757,12.953564
131,200062_s_at,12.059559,12.29703,12.385823,12.068628,12.862292,12.859521,12.888304,12.633531,12.970237,12.941956,12.493962,12.524784,12.547714,12.667109,12.757968,12.590459,12.424621,12.699555,12.538682,12.729384,12.750729,13.066021,12.868813,12.883726,12.869017,12.77112,12.582137,12.365378,12.596603,13.199167,12.660564,12.728973,12.860818,12.858724,12.818954
132,200063_s_at,10.255635,9.953802,9.877174,10.314121,11.305335,11.153763,11.055273,11.197139,11.257424,11.483307,10.800576,11.255994,11.070837,11.081023,10.771631,10.483378,10.6107,9.801984,10.077882,11.355302,11.067626,11.760714,10.943782,11.354757,11.455855,10.337647,11.42782,10.826229,11.032545,11.452831,11.200933,11.020507,11.419618,10.876962,11.03626
133,200064_at,9.933388,9.858611,9.292564,9.885294,11.567342,11.254115,11.16871,11.588145,11.142884,10.986316,10.988151,11.449438,10.827633,11.251887,11.544479,10.376446,10.677499,8.803823,10.039528,11.428975,10.850922,11.328401,10.239702,11.353183,11.505398,11.220393,11.498955,10.680684,11.698163,11.899673,10.7684,11.131188,11.604788,10.628989,11.579952
134,200065_s_at,10.304446,9.607741,10.375317,10.193573,10.463585,10.930065,10.731849,10.952167,10.98159,10.30303,11.003924,10.482626,10.585487,10.562232,10.473767,10.464144,10.570688,10.388796,10.763258,9.978576,9.955268,10.552824,10.255173,10.799059,9.958874,10.310434,10.62089,9.28058,10.249047,10.661657,10.657105,10.513946,10.118194,10.397266,10.59739
135,200066_at,8.519007,9.146834,8.371089,8.266538,8.139451,8.727976,8.609083,9.030248,8.386388,8.183838,8.590739,8.736449,8.747294,8.488216,8.636719,8.170624,8.63253,8.342712,8.503991,8.667737,8.310701,8.900975,7.704889,8.656819,8.345912,8.260467,8.93473,7.346795,8.798005,8.431019,8.857117,8.130852,8.002934,8.20751,8.425954
136,200067_x_at,9.310364,10.011158,9.465359,9.018466,8.833602,8.947297,9.12214,8.969464,9.24634,8.939943,9.20548,8.690883,9.004997,8.374488,9.106213,9.292294,9.133977,8.96453,8.734022,8.221621,8.878412,9.271865,8.805883,8.825117,8.946027,8.75529,8.888025,7.563666,8.836361,9.352431,8.950293,8.987198,8.611266,8.89836,8.966376
137,200068_s_at,10.505688,10.605553,10.202458,10.38119,11.545699,11.393873,11.306545,11.421634,11.511967,11.391487,10.946955,10.212742,10.547811,10.658933,10.397848,10.296538,10.699853,10.391553,10.231493,10.599015,10.861157,10.707079,10.359674,10.237427,10.562857,10.271652,10.394393,9.474198,10.019598,10.51537,10.582219,10.171443,10.686056,10.518753,10.858655
138,200069_at,4.514357,5.133376,4.519946,4.469697,5.383565,5.085764,5.902846,5.496322,7.390556,5.918043,4.824427,4.14075,4.407685,4.714636,4.626633,4.569521,4.626745,4.273408,4.975374,4.965499,4.018553,4.40189,4.236266,4.537899,4.426874,4.364929,4.299512,4.703948,4.537577,4.236811,4.39718,4.575597,5.020691,4.394719,4.59251
